name,category,lat,lon,city,state
Hollywood Walk of Fame,attraction,34.1015,-118.3267,Los Angeles,CA
Santa Monica Pier,beach,34.0095,-118.4968,Santa Monica,CA
Universal Studios Hollywood,theme_park,34.1381,-118.3534,Los Angeles,CA
Disneyland,theme_park,33.8121,-117.919, Anaheim,CA
Venice Beach,beach,33.985,-118.4695,Venice,CA
Griffith Observatory,attraction,34.1186,-118.3004,Los Angeles,CA
La Jolla Cove,beach,32.8473,-117.2735,La Jolla,CA
Balboa Park,park,32.7315,-117.1441,San Diego,CA
San Diego Zoo,attraction,32.7353,-117.149,San Diego,CA
Pacific Beach,beach,32.7972,-117.254,San Diego,CA
Downtown San Diego,city_center,32.7157,-117.1617,San Diego,CA
Downtown Los Angeles,city_center,34.0522,-118.2437,Los Angeles,CA
South Coast Plaza,shopping,33.6884,-117.8812,Costa Mesa,CA
Long Beach Aquarium,aquarium,33.767,-118.1937,Long Beach,CA
